articleNo,articleName,tradeTypeName,dealOrWarrantPrc,rentPrc,floorInfo,area1,area2,direction,articleConfirmYmd,articleFeatureDesc,realtorName,realtorId
2536480062,더샵송도센텀하이브,월세,"2,000",120,13/29,133,63,남동향,20250707,전입가능 저렴월세 신축첫입주 2룸에 다락까지 선점하세요 역세권,1공구공인중개사사무소,a8170109
2536443587,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,북서향,20250707,"1년입주가능,역세권 시티뷰 전입안됨 부가세별도",센텀나이스공인중개사사무소,55mangaya
2536541028,더샵송도센텀하이브,월세,"2,000",120,15/29,133,63,북서향,20250707,전입안됨,센텀로또공인중개사사무소,hrg7732
2536513105,더샵송도센텀하이브,월세,"2,000",120,18/29,132,63,남서향,20250707,전입가능합니다  빠른입주가능 신축2룸,센트로드강남공인중개사사무소,k8517500
2536513823,더샵송도센텀하이브,전세,"2억 4,000",,27/29,136,64,북향,20250707,세탁기 건조기 커튼까지 다 해드립니다 무융 죽시입주 ,아크베이한길공인중개사사무소,hangil834557
2536523093,더샵송도센텀하이브,월세,"2,000",110,25/29,133,63,북동향,20250707,전입X 사업자무관 역세권2룸,센트로드강남공인중개사사무소,k8517500
2536513734,더샵송도센텀하이브,월세,"2,000",150,27/29,133,63,북동향,20250707,전입 사업자 다가능  신축투룸 복층형구조 역세권 시티뷰 ,아크베이한길공인중개사사무소,hangil834557
2536543391,더샵송도센텀하이브,월세,"3,000",140,16/29,131,62,남서향,20250707,호수뷰 세대 임대료 조정가능 합니다,센텀로또공인중개사사무소,hrg7732
2536440199,더샵송도센텀하이브,월세,"2,000",130,18/29,133,63,북동향,20250707,전입가능 저렴월세 예쁜시티뷰 방2 선점하세요 신축첫입주,1공구공인중개사사무소,a8170109
2536452212,더샵송도센텀하이브,월세,"2,000",120,18/29,131,62,북동향,20250707,"전입가능, 강추 매물입니다",타워공인중개사사무소,a4330020
2536455955,더샵송도센텀하이브,월세,"2,000",130,18/29,133,63,북동향,20250707,국제업무지구역 전입가능 빠른입주 방2화2 복층 경제청방향,센텀나이스공인중개사사무소,55mangaya
2536533572,더샵송도센텀하이브,월세,"1,000",110,25/29,133,63,북동향,20250707,고층 시티뷰 신축첫입주 방2화2 더블역세권,윤슬공인중개사사무소,iisuk6211
2536454936,더샵송도센텀하이브,월세,"2,000",120,18/29,133,63,남서향,20250707,첫입주. 워터프런트가 보이는 확트인 전망. 수납장이 넉넉. 전입은안됨,센텀나이스공인중개사사무소,55mangaya
2536448886,더샵송도센텀하이브,월세,"2,000",130,20/29,132,63,북동향,20250707,역세권 즉시입주 신축첫입주. 부가세 없음  전입불가,센텀나이스공인중개사사무소,55mangaya
2536558470,더샵송도센텀하이브,매매,"4억 3,011",,10/29,133,63,남서향,20250707,"계약금포기, 부가세반환. 남서향 호수뷰 급매. 안방넓고 거실에 테라스있음",송도로얄공인중개사사무소,mo4611
2536427387,더샵송도센텀하이브,월세,"2,000",140,21/29,136,64,북동향,20250707,센팍시티뷰 신축첫입주 B3타입 방2에테라스 전입불가,윤슬공인중개사사무소,iisuk6211
2536420717,더샵송도센텀하이브,월세,"2,000",130,15/29,136,64,남동향,20250707,개방감 좋은 복층형 방2 화2 풀에어컨 폴리싱타일,윤슬공인중개사사무소,iisuk6211
2536416030,더샵송도센텀하이브,월세,"2,000",120,18/29,136,64,북서향,20250707,전입가능 저렴한월세 방2화2 첫입주 더블역세권,윤슬공인중개사사무소,iisuk6211
2536418290,더샵송도센텀하이브,월세,"3,000",120,20/29,132,63,남향,20250707,"추천 전입가능 멋진호수뷰 개방감있는 복층형 방2,화2,풀에어컨",윤슬공인중개사사무소,iisuk6211
2536430107,더샵송도센텀하이브,전세,3억,,15/29,136,64,남동향,20250707,신축첫입주 더블역세권 복층형 2룸 화2 월세도가능,윤슬공인중개사사무소,iisuk6211
2536421765,더샵송도센텀하이브,월세,"1,500",120,26/29,132,63,동향,20250707,고층멋진시티뷰 더블역세권 복층투룸 높은층고로 개방감굿 전입x 부별,윤슬공인중개사사무소,iisuk6211
2536431565,더샵송도센텀하이브,월세,"2,000",140,27/29,133,63,북서향,20250707,"전입가능, 시티뷰와 사이호수뷰, 풀에어컨, 신축첫입주, 더블역세권",윤슬공인중개사사무소,iisuk6211
2536424750,더샵송도센텀하이브,월세,"1,000",120,13/29,132,63,남서향,20250707,남서향 호수뷰 전입불가 개방감좋은 복층형 방2화2 풀에어컨 ,윤슬공인중개사사무소,iisuk6211
2536425396,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,북동향,20250707,시원한 전면시티뷰 복층형구조 A1타입 거실테라스 전입불가,윤슬공인중개사사무소,iisuk6211
2536508113,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,북동향,20250707,2룸 넓은복층구조. 사업자환영 시티뷰 생활권 편리한 단지로 추천매물,송도이루다공인중개사사무소,ss7248787
2536512332,더샵송도센텀하이브,월세,"2,000",150,28/29,131,62,북동향,20250707,"복층, 쇼파 냉장고 세탁기 건조기 전자레인지 티비 사업자 부별",금빛미소부동산공인중개사사무소,m8220709
2536529138,더샵송도센텀하이브,월세,"5,000",100,24/29,131,62,북서향,20250707,,송도황금R부동산공인중개사사무소,heygirl00523
2536566111,더샵송도센텀하이브,매매,"3억 9,249",,16/29,131,62,남서향,20250707,야경이 멋진시티뷰0  복층형0  계포0 부포0  첫입주0,대방호수공인중개사사무소,inn313313
2536553043,더샵송도센텀하이브,월세,"2,000",120,15/29,133,63,북동향,20250707,복층2룸hi. 전입x. 부가세별도. 안방 테라스. 첫입주,송도하이부동산공인중개사사무소,thdehgkdl
2536526342,더샵송도센텀하이브,매매,"4억 6,830",,16/29,131,62,남서향,20250707,,송도황금R부동산공인중개사사무소,heygirl00523
2536564305,더샵송도센텀하이브,매매,"4억 5,400",,26/29,132,63,북서향,20250707,시티뷰0 복층형0 계약금포기0 ,대방호수공인중개사사무소,inn313313
2536534923,더샵송도센텀하이브,월세,"2,000",120,18/29,133,63,남서향,20250707,사업자 부가세별도 호수뷰 전망 굿,스카이투유공인중개사사무소,twoyoo_sd
2536566616,더샵송도센텀하이브,월세,"1,300",110,15/29,131,62,북서향,20250707,시원한호수뷰0   풀에어컨0   역세권0   첫입주0 ,대방호수공인중개사사무소,inn313313
2536523007,더샵송도센텀하이브,월세,"5,000",100,18/29,136,64,동향,20250707,D 전입가능 투룸의 복층감성 어서오세요,다이아공인중개사사무소,dia040812
2536566274,더샵송도센텀하이브,매매,4억 507,,19/29,133,63,남서향,20250707,무피0  복층형오피스텔0  최고의 입지0  더블역세권0,대방호수공인중개사사무소,inn313313
2536485830,더샵송도센텀하이브,월세,"2,000",120,13/29,133,63,남향,20250707,전입가능 복층구조 트인뷰 생활권 편리한단지로 추천매물,송도이루다공인중개사사무소,ss7248787
2536345292,더샵송도센텀하이브,월세,"2,000",120,15/29,136,64,남향,20250707,복층2룸hi. 전입x. 여유 수납공간. 풀에어컨. 안방테라스,송도하이부동산공인중개사사무소,thdehgkdl
2536419861,더샵송도센텀하이브,월세,"1,500",140,22/29,131,62,남서향,20250707,인기 있는 남서향. 살아보고 싶은 복층. 송도 최고 전망,웰사랑부동산공인중개사사무소,a8345858
2536418733,더샵송도센텀하이브,매매,"4억 9,590",,22/29,131,62,남서향,20250707,인기있는 남서향. 송도 최고의 전망 호수뷰. 도시야경뷰.,웰사랑부동산공인중개사사무소,a8345858
2536407066,더샵송도센텀하이브,월세,"2,000",150,28/29,133,63,북동향,20250707,복층. 냉장고 세탁기 건조기 전자레인지 침대 소파 옵션.부가세별도,웰사랑부동산공인중개사사무소,a8345858
2536403302,더샵송도센텀하이브,월세,"2,000",130,12/29,136,64,남서향,20250707,"호수뷰,복층투룸,사업자",SK최고공인중개사사무소,4031004okokok
2536475882,더샵송도센텀하이브,매매,"4억 8,500",,11/29,132,63,남서향,20250707,남서향  호수뷰 복층구조  높은층고 부가세환급,송도프리미엄공인중개사사무소,p8597122
2536420550,더샵송도센텀하이브,매매,"4억 3,620",,15/29,136,64,북동향,20250707,무피. 복층. 욕실2. 신축첫입주,웰사랑부동산공인중개사사무소,a8345858
2536416362,더샵송도센텀하이브,매매,"4억 2,550",,21/29,133,63,동향,20250707,개방감 좋은 복층. 욕실2. 방2. 거실과 다락방 구조,웰사랑부동산공인중개사사무소,a8345858
2536475619,더샵송도센텀하이브,월세,"2,000",110,11/29,132,63,남서향,20250707,남서향  호수뷰 복층구조  높은층고,송도프리미엄공인중개사사무소,p8597122
2536402907,더샵송도센텀하이브,매매,"4억 2,147",,16/29,131,62,남서향,20250707,계약금포기 부가세환급 실투자금0원 복층투룸 호수뷰 남서향,시티오씨엘랜드공인중개사사무소,cto-land2
2535916809,더샵송도센텀하이브,월세,"1,500",135,중/29,132,63,남동향,20250704,신축첫입주 더블역세권 융무 전입가능 방2 화2 수납공간 많음 ,센텀최고공인중개사사무소,centumproperty
2536268133,더샵송도센텀하이브,월세,"2,000",130,26/29,132,63,북동향,20250705,고층 시원한 시티뷰 전입X 부가세별도 방2 화2 풀에어컨 복층형,윤슬공인중개사사무소,iisuk6211
2536274332,더샵송도센텀하이브,전세,"2억 4,000",,27/29,136,64,북서향,20250705,"시티뷰, 사이호수뷰, 더블역세권 세탁기 건조기옵,냉장고",윤슬공인중개사사무소,iisuk6211
2536268036,더샵송도센텀하이브,월세,"2,000",130,13/29,133,63,남동향,20250705,신축첫입주 전입가능 B1타입 거실테라스,윤슬공인중개사사무소,iisuk6211
2536297049,더샵송도센텀하이브,전세,"2억 5,000",,28/29,136,64,북서향,20250705,융무 전세대춮가능 전입가능 풀에어컨  이사협의,스카이단지공인중개사사무소,tmzkdl_8864
2534546891,더샵송도센텀하이브,월세,"1,500",110,11/29,132,63,남동향,20250627,저렴한 임대료 편리한 주변 인프라 센텀하이브 오피스텔로 옮겨보세요,부동산대통령공인중개사사무소,8813004
2536294860,더샵송도센텀하이브,월세,"2,000",130,26/29,132,63,북동향,20250705,전입또는사업자 선택가능 투룸오피스텔 신축첫입주 선점하세요,1공구공인중개사사무소,a8170109
2536275744,더샵송도센텀하이브,월세,"2,000",120,18/29,133,63,북동향,20250705,전입가능 멋진시티뷰 복층구조로 개방감있는집 ,윤슬공인중개사사무소,iisuk6211
2536312114,더샵송도센텀하이브,전세,"2억 5,000",,25/29,133,63,북동향,20250705,더블역세권. 귀한 전세. 전입가능. 생활편리. 가격조정가능,센텀나이스공인중개사사무소,55mangaya
2534202681,더샵송도센텀하이브,월세,"2,000",140,10/29,133,63,남서향,20250627,신축첫입주 2룸 전면호수뷰 전입불가 부가세별도 더블역세권 수납많은다락방,센트로드강남공인중개사사무소,k8517500
2534502284,더샵송도센텀하이브,월세,"2,000",110,19/29,131,62,북동향,20250627,"신축 첫입주,더블 역세권,입주청소,줄눈시공,방2 화2,넓은 수납공간 ",센텀최고공인중개사사무소,centumproperty
2535262350,더샵송도센텀하이브,월세,"2,000",120,중/29,133,63,북동향,20250703,귀한전입가능매물.북동향으로 센트럴파크도 보실 수 있어요.,OK(센텀하이브)부동산중개,okayrealestate27
2536125772,더샵송도센텀하이브,월세,"2,000",140,25/29,133,63,남동향,20250704,"첫입주, 멋진 시티뷰와 센팍뷰, 전입불가, 복층, 편리한 상권",에이원공인중개사사무소,aone8222
2536132216,더샵송도센텀하이브,매매,"3억 6,650",,18/29,136,64,남동향,20250704,"계포 부포 추가마피,송도최초 방2화2 복층형,호수뷰,역세권",송도나이스공인중개사사무소,b7217300
2536276356,더샵송도센텀하이브,월세,"2,000",120,11/29,132,63,북동향,20250705,귀한전입가능 7월중순등기완료 시티뷰 복층2룸 화장실2 역세권 생활권편리 ,부동산중개공간,gonggan_songdo2
2536242793,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,북서향,20250705,"복층오피스텔,2룸,역세권,화장실2개",당근공인중개사사무소,carrot1091
2536237974,더샵송도센텀하이브,월세,"2,000",120,19/29,131,62,북동향,20250705,A1. 역세권. 시티뷰. 트인뷰. 부가세별도. 줄눈시공. 가전옵션가능,푸른솔공인중개사사무소,pureunsol8200
2536276717,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,북동향,20250705,즉시입주가능 전입안됨 부가세별도 시티뷰 복층2룸 화장실2 생활권편리 ,부동산중개공간,gonggan_songdo2
2536268514,더샵송도센텀하이브,월세,"2,000",150,28/29,133,63,북동향,20250705,사업자 부별 티비 냉장고 세탁기 건조기 전자레인지 침대 소파,부동산중개공간,gonggan_songdo2
2536227957,더샵송도센텀하이브,월세,"2,000",130,21/29,136,64,남서향,20250705,멋진호수뷰0   풀에어컨0   복층형0   첫입주0 ,대방호수공인중개사사무소,inn313313
2536116515,더샵송도센텀하이브,월세,"2,000",110,21/29,133,63,북동향,20250704,시티뷰지만 뻥 뷰. 전입불가. 단기 가능,센텀나이스공인중개사사무소,55mangaya
2536081858,더샵송도센텀하이브,전세,"2억 5,000",,20/29,132,63,북동향,20250704,"시티뷰,국제업무지구역 근처,복층,풀FCU",송도의아침공인중개사사무소,avess4803
2536320837,더샵송도센텀하이브,월세,"2,000",130,11/29,131,62,북동향,20250705,"전입가능,2룸복층 넓은수납공간,역세권",금빛미소부동산공인중개사사무소,m8220709
2536107542,더샵송도센텀하이브,월세,"1,000",110,17/29,132,63,북서향,20250704,부가세없음 2000에100도가능 암막커튼 전입불가 신축첫입주 ,윤슬공인중개사사무소,iisuk6211
2536243783,더샵송도센텀하이브,매매,"14억 6,180",,29/29,264,126,남동향,20250705,"복층구조의 고급 펜트, 넓은 테라스",당근공인중개사사무소,carrot1091
2536260275,더샵송도센텀하이브,월세,"2,000",130,16/29,131,62,북서향,20250705,"ACE. 로얄동호, 실사진, 확트인 호수뷰 ,투룸, 사업자 ,초역세권",에이스랜드부동산공인중개사사무소,one4040101
2536310084,더샵송도센텀하이브,월세,"2,000",130,12/29,136,64,북동향,20250705,전입불가 빠른이사협의  호수뷰 풀에어컨 복층,탑442-4666공인중개사사무소,yesccjjtop
2536316081,더샵송도센텀하이브,전세,"2억 4,000",,27/29,136,64,북서향,20250705,융무 전입가능 복층 역세권 건조기 세탁기 냉장고 커뮤니티시설  ,송도랜드마크공인중개사사무소,jy8580103
2536189140,더샵송도센텀하이브,매매,"3억 7,258",,15/29,136,64,북서향,20250705,신축 복층 계약금포기 추가 마이너스2천 급매 득템하세요,8공구호반공인중개사사무소,sysil8181
2534309809,더샵송도센텀하이브,월세,"1,500",120,26/29,132,63,북동향,20250626,,센텀최고공인중개사사무소,centumproperty
2535967560,더샵송도센텀하이브,전세,"2억 5,000",,17/29,132,63,북서향,20250704,융무 전세대춮가능 전입가능 풀에어컨  이사협의,스카이단지공인중개사사무소,tmzkdl_8864
2534269088,더샵송도센텀하이브,월세,"1,500",120,26/29,132,63,북동향,20250626,뷰가좋은 라인입니다 줄눈시공예정 사업자OK,한라시티부동산공인중개사사무소,officemate820516
2536065002,더샵송도센텀하이브,월세,"2,000",150,16/29,133,63,남향,20250704,"워터프런트뷰,복층,전입안됨,부가세별도",송도의아침공인중개사사무소,avess4803
2536026682,더샵송도센텀하이브,월세,"2,000",120,20/29,131,62,남서향,20250704,,센텀나이스공인중개사사무소,55mangaya
2535966460,더샵송도센텀하이브,전세,"2억 4,000",,27/29,136,64,북서향,20250704,"융무 전세대춮가능 전입가능 풀에어컨 세탁기,냉장고옵션 추가  이사협의",스카이단지공인중개사사무소,tmzkdl_8864
2536029470,더샵송도센텀하이브,월세,"2,000",110,19/29,131,62,북동향,20250704,전입X 시원한시티뷰 신축 로얄라인 풀에어컨 방2 화2 복층 ,윤슬공인중개사사무소,iisuk6211
2534076392,더샵송도센텀하이브,월세,"1,500",140,22/29,131,62,남서향,20250626,센텀신축첫입주 2룸 전면호수뷰 전입불가 부가세없음 다락방 더블역세권,센트로드강남공인중개사사무소,k8517500
2535396919,더샵송도센텀하이브,월세,"5,000",100,중/29,136,64,남서향,20250702,초역세권 신축 탁트인 호수뷰 로얄라인 전입가능 줄눈 나노코팅시공 ,센텀최고공인중개사사무소,centumproperty
2535731649,더샵송도센텀하이브,전세,"2억 6,000",,26/29,132,63,남서향,20250703,전입 멋진 호수뷰맛집 복층 넓은 수납공간,아크베이한길공인중개사사무소,hangil834557
2535779126,더샵송도센텀하이브,매매,5억 120,,21/29,136,64,남서향,20250703,"class 남서향의 호수뷰,  상권이용편리, 무피진행 가격협의가능",송도클래스공인중개사사무소,class5353
2536017118,더샵송도센텀하이브,월세,"2,000",130,24/29,136,64,북서향,20250704,복층구조.저렴한 월세 .사업자 부가세별도 역세권,스카이탑공인중개사사무소,j4380000
2535923647,더샵송도센텀하이브,월세,"1,500",120,26/29,132,63,북동향,20250703,"뻥 뚫린시티뷰, 방2개, 복층구조, 풀에어컨, 뷰맛집",부동산시월공인중개사사무소,october-real
2536004453,더샵송도센텀하이브,매매,"13억 2,030",,29/29,261,124,서향,20250704,마피1억 펜트하우스 매매,스카이투유공인중개사사무소,twoyoo_sd
2535967289,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,북향,20250704,센텀하이브. 첫입주 복층. 전입안됨. 부가세별도,웰사랑부동산공인중개사사무소,a8345858
2535926531,더샵송도센텀하이브,월세,"2,000",120,13/29,132,63,남동향,20250703,,센텀나이스공인중개사사무소,55mangaya
2535784483,더샵송도센텀하이브,월세,"2,000",130,21/29,136,64,남서향,20250703,"class 전입X,남서향의 호수뷰, 상권이용편리,복층형,냉장고설치예정",송도클래스공인중개사사무소,class5353
2536133453,더샵송도센텀하이브,매매,"3억 6,758",,15/29,136,64,서향,20250704,계포.부포.추가2500 더조정해드림.,대방백년공인중개사사무소,cjh1741
2536074450,더샵송도센텀하이브,월세,"2,000",130,26/29,132,63,북동향,20250704,전입안됨.,대방백년공인중개사사무소,cjh1741
2536140821,더샵송도센텀하이브,전세,"2억 4,000",,27/29,136,64,서향,20250704,융무.풀에.세탁기.건조기.커튼,대방백년공인중개사사무소,cjh1741
2534052417,더샵송도센텀하이브,월세,"2,000",120,23/29,132,63,남서향,20250625,,부동산대통령공인중개사사무소,8813004
2535731613,더샵송도센텀하이브,월세,"2,000",130,14/29,132,63,남동향,20250703,전입불가 사업자 뷰맛집 복층 넓은 수납공간,아크베이한길공인중개사사무소,hangil834557
2535726880,더샵송도센텀하이브,월세,"2,000",120,18/29,133,63,남서향,20250703,유튜브영상있음 사진많음 뻥뷰 전입불가 부별 신혼부부 개인 사업자 추천,아름다운공인중개사사무소,dudals0220_
2533997584,더샵송도센텀하이브,월세,"2,000",130,12/29,136,64,남서향,20250625,센텀신축 2룸 전면호수뷰 전입불가 부가세별도 더블역세권,센트로드강남공인중개사사무소,k8517500
2533852474,더샵송도센텀하이브,월세,"2,000",130,20/29,132,63,북동향,20250625,신혼부부 거주도 좋은 센텀 복층 오피스텔 ,한라시티부동산공인중개사사무소,officemate820516
2535231071,더샵송도센텀하이브,전세,"2억 5,000",,중/29,132,63,북동향,20250701,"초역세권 신축, 방2,화2,확트인 공원뷰,융무,저렴한 전세",센텀최고공인중개사사무소,centumproperty
